type,millis,sensor_x,sensor_y,sensor_z
10,1659069789493,0.0501,-0.24219999,-0.30969998
4,1659069789370,-0.063599795,-0.10276499,0.31401965
4,1659069789473,0.05073672,0.055745818,0.01844813
4,1659069789430,0.045046948,0.0283616,0.18577285
4,1659069789510,-0.026738444,-0.029461158,0.0015009831
10,1659069789512,0.0278,-0.2589,-0.13329999
4,1659069789530,-0.0021293017,-0.0033161256,3.6651915E-4
10,1659069789532,0.0398,-0.26139998,-0.0354
4,1659069789574,-2.7925268E-4,7.6794485E-4,8.0285146E-4
4,1659069789610,0.0010646508,0.0017278759,7.330383E-4
10,1659069789632,0.0343,-0.23279999,-0.1739
10,1659069789612,0.035499997,-0.24129999,-0.0657
10,1659069789575,0.0109,-0.23359999,-0.22209999
4,1659069789550,0.014503686,0.0172264,0.0017627826
4,1659069789590,-0.009651671,-0.008761553,6.981317E-4
10,1659069789592,0.0389,-0.2252,-0.1343
4,1659069789630,0.0031415927,0.0032114058,9.773844E-4
10,1659069789652,0.033299997,-0.21249999,-0.1249
4,1659069789650,-0.0030717794,-0.004712389,2.9670598E-4
10,1659069789552,0.0094,-0.24229999,-0.065299995
10,1659069789733,0.0197,-0.21329999,-0.1453
10,1659069789672,0.0112,-0.22039999,-0.0661
4,1659069789691,0.0016057029,0.0043807765,-4.0142573E-4
10,1659069789693,-0.0084999995,-0.2025,-0.13509999
10,1659069789714,0.020299999,-0.21169999,-0.13509999
4,1659069789671,-0.0014835298,-0.001850049,8.2030473E-4
4,1659069789730,-0.002094395,-0.0016580628,-3.4906585E-5
4,1659069789710,3.4906585E-5,0.0020071287,3.6651915E-4
4,1659069789751,-8.0285146E-4,-0.0018849556,0.001134464
10,1659069789753,0.027999999,-0.205,-0.1358
4,1659069789771,6.6322513E-4,-1.3962634E-4,0.001012291
4,1659069789790,-0.0037350047,-0.003822271,8.2030473E-4
10,1659069789773,0.016999999,-0.1783,-0.1165
4,1659069789810,-0.04569272,-0.047856927,0.00143117
10,1659069789812,-0.0145,-0.1715,-0.2638
10,1659069789793,-0.0026,-0.1625,-0.1952
4,1659069789830,-0.08707447,-0.08798204,6.283185E-4
10,1659069789832,-0.0162,-0.1821,-0.2934
4,1659069789850,-0.12473868,-0.13514084,5.5850536E-4
10,1659069789853,0.0234,-0.18439999,-0.1955
4,1659069789872,-0.1383348,-0.15617207,0.0010471975
10,1659069789874,0.0442,-0.1794,-0.1369
4,1659069789890,-0.13573426,-0.15502015,8.726646E-4
10,1659069789893,0.0315,-0.19119999,-0.0094
4,1659069789910,-0.042202063,-0.04893903,2.7925268E-4
10,1659069789912,0.0288,-0.21319999,0.3241
4,1659069789930,0.14238396,0.1619142,-0.002268928
10,1659069789936,0.046699997,-0.21429999,0.5694
10,1659069789957,-0.031,-0.1338,-0.1858
4,1659069789956,0.22914428,0.2589894,-0.004590216
4,1659069789973,0.09334021,0.104353234,-0.0030717794
10,1659069789974,-0.0797,-0.0998,-0.78389996
4,1659069789991,-0.029932396,-0.03515093,3.1415926E-4
10,1659069789992,-0.0115,-0.1862,-0.264
4,1659069790010,0.04373795,0.045657814,1.7453292E-5
10,1659069790012,0.0685,-0.2092,0.33409998
10,1659069790032,0.0174,-0.19749999,0.27539998
4,1659069790030,0.17182766,0.17908823,-0.0027925267
10,1659069790055,-0.028099999,-0.1612,0.0111
4,1659069790054,0.24511404,0.24352579,-0.002687807
4,1659069790070,6.806784E-4,-0.027209682,0.0010471975
10,1659069790072,-0.0704,-0.1884,-0.16409999
10,1659069790093,9.999999E-4,-0.2067,-0.1542
4,1659069790090,0.023457225,0.019425515,0.0010646508
4,1659069790110,0.013072516,0.010105456,0.0021991148
10,1659069790112,0.023,-0.1806,-0.1051
10,1659069790132,-0.024999999,-0.15269999,-0.105
4,1659069790131,0.010489428,0.0049218284,0.0017453292
4,1659069790154,0.026005406,0.018727383,0.0058643064
10,1659069790155,-0.024799999,-0.1929,-0.046099998
10,1659069790174,-0.159,-0.39299998,-0.18329999
4,1659069790172,0.018221237,0.017558012,0.043615777
10,1659069790192,-0.4306,-0.7872,-0.19309999
4,1659069790190,0.010105456,-0.015620696,0.30974358
4,1659069790210,0.095294975,0.014189526,0.6601184
10,1659069790212,-0.6519,-1.2860999,0.20899999
10,1659069790255,-0.8232,-1.7322999,0.41669998
4,1659069790230,0.14301229,0.037524577,1.0901501
4,1659069790272,0.3093247,0.1144936,1.4120935
4,1659069790253,0.18610446,0.0421497,1.3285795
10,1659069790232,-0.95839995,-1.4173,-0.2021
10,1659069790292,0.1513,-0.6454,-0.48099998
4,1659069790311,0.12042772,0.04373795,0.9576971
4,1659069790290,0.36838666,0.13857915,1.2647005
10,1659069790273,-0.3468,-1.4072,0.5359
10,1659069790312,0.9478,-0.3277,-0.6634
10,1659069790372,1.063,1.6843,-0.0332
4,1659069790330,0.028763026,0.023282692,0.49706978
10,1659069790357,1.3424,1.1815,0.25
10,1659069790335,1.3356999,0.4486,-0.35819998
4,1659069790370,0.17715092,0.06332055,-0.23277456
4,1659069790356,0.08906415,0.038135443,0.071488686
10,1659069790415,-1.6078999,0.24679999,-0.54859996
4,1659069790390,0.13311626,0.03460988,-0.3763279
10,1659069790392,0.6357,2.0695999,-0.3446
10,1659069790433,-0.0392,-0.1273,-0.4007
10,1659069790433,-0.0392,-0.1273,-0.4007
4,1659069790411,0.05110324,0.03361504,-0.2154609
4,1659069790450,-0.08841838,-0.021310471,0.0012391837
10,1659069790453,0.015999999,-0.1633,-0.0585
4,1659069790470,-0.032899458,-0.011170107,4.363323E-4
10,1659069790475,-0.007999999,-0.1661,0.087299995
4,1659069790490,0.034854226,0.009250245,3.6651915E-4
10,1659069790492,0.0188,-0.14039999,0.027999999
10,1659069790512,-0.0188,-0.13769999,-0.1479
4,1659069790510,0.043458696,0.008342674,7.853982E-4
10,1659069790535,-0.027199998,-0.1267,-0.2943
4,1659069790534,0.026389379,0.0073652896,5.061455E-4
4,1659069790550,-0.03630285,-0.009459685,-1.5707963E-4
4,1659069790570,-0.04914847,-0.013351769,2.6179937E-4
10,1659069790552,-0.025899999,-0.1319,-0.24489999
10,1659069790572,-0.037699997,-0.1444,-0.1277
10,1659069790592,-0.0011999999,-0.14459999,-0.1873
4,1659069790590,-0.06513569,-0.017592918,-5.235988E-5
4,1659069790611,-0.07464773,-0.023317598,6.283185E-4
10,1659069790613,0.005,-0.1415,-0.109699994
10,1659069790634,-0.019199999,-0.16589999,-0.071499996
4,1659069790633,-0.06649704,-0.022183135,0.0016755161
10,1659069790653,-0.023599999,-0.15259999,-0.092
4,1659069790652,-0.05349434,-0.019896753,0.0017278759
4,1659069790670,-0.018151425,-0.00424115,0.0022863813
10,1659069790672,-0.0178,-0.181,0.044499997
4,1659069790690,0.06026622,0.022776546,2.443461E-4
10,1659069790693,8.0E-4,-0.1771,0.20109999
10,1659069790732,-0.0047999998,-0.129,-0.1982
10,1659069790714,-0.0039999997,-0.1504,0.0646
4,1659069790710,0.15947074,0.05148721,-4.0142573E-4
4,1659069790731,0.15746361,0.041957714,-9.0757123E-4
4,1659069790750,0.10883873,0.025324726,-4.886922E-4
10,1659069790752,-0.0162,-0.100499995,-0.27449998
4,1659069790770,0.08569567,0.020228365,6.806784E-4
10,1659069790772,-0.0112,-0.15079999,-0.0866
4,1659069790790,0.0017802358,-5.2359875E-4,0.0024609142
4,1659069790815,-0.12423254,-0.030717794,0.0011693706
10,1659069790803,-0.046499997,-0.1083,-0.6051
10,1659069790816,-0.0348,-0.122099996,-0.38
4,1659069790832,-0.12243485,-0.03111922,4.5378561E-4
10,1659069790833,-0.0018,-0.1471,0.039699998
10,1659069790852,0.0016,-0.15259999,0.1655
4,1659069790850,-0.030944688,-0.0058119465,5.235988E-5
10,1659069790872,-0.0094,-0.117199995,-0.0212
4,1659069790870,0.026197392,0.008395034,6.283185E-4
10,1659069790893,-0.0275,-0.1321,-0.0797
4,1659069790890,0.04059636,0.009948377,3.6651915E-4
10,1659069790935,-0.024899999,-0.124699995,-0.1964
4,1659069790934,-0.0108908545,-0.0032463125,3.3161257E-4
10,1659069790921,-0.035499997,-0.120299995,-0.2164
4,1659069790950,-0.01441642,-0.0021991148,1.9198621E-4
10,1659069790921,-0.035499997,-0.120299995,-0.2164
10,1659069790952,-0.0354,-0.14199999,-0.0495
4,1659069790970,0.0029670596,0.0016406095,5.410521E-4
10,1659069790972,-0.0064,-0.139,-0.098799996
4,1659069790990,0.011170107,8.0285146E-4,5.5850536E-4
10,1659069790992,-0.0142,-0.115499996,-0.089999996
10,1659069791017,-0.0241,-0.1191,-0.129
10,1659069791017,-0.0241,-0.1191,-0.129
10,1659069791032,-0.0338,-0.1226,-0.20719999
4,1659069791031,-0.005934119,-0.0026005406,4.5378561E-4
10,1659069791055,-0.024699999,-0.1126,-0.1091
4,1659069791051,-0.01839577,-0.004555309,4.5378561E-4
4,1659069791070,-0.01665044,-0.0019373155,3.8397242E-4
10,1659069791072,-0.015899999,-0.1197,-0.0995
4,1659069791090,-0.00424115,-0.0019547688,2.9670598E-4
10,1659069791093,-0.0066,-0.117,-0.0801
10,1659069791114,-0.0071,-0.11669999,-0.0605
4,1659069791130,0.017627826,0.0027576203,3.6651915E-4
10,1659069791114,-0.0071,-0.11669999,-0.0605
10,1659069791132,-0.0066,-0.11,-0.1387
10,1659069791152,-0.0356,-0.113699995,-0.1384
4,1659069791150,0.008813913,7.5049157E-4,3.8397242E-4
